docId,sentenceId,sentences,all_passives,all_passives_count,binary,res_u,res_com,res_dif,ID,gender,age,comments
1,1,"a few years ago, i was working as a pharmacy technician at a hospital.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,2,"every so often, a client would ask us to send a prescription to another pharmacy, so i would have to call the other pharmacy in question and speak to the pharmacist to place the order.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,3,"in one instance, i was not aware of a certain federal regulation that made it mandatory to hand a written prescription to the pharmacist, so i could not place the order over the phone.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,4,"the pharmacist that i spoke to was rude, yelled at me for not understanding the regulation, and hung up on me.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,5,"i had to call the store and speak to the general manager about my experience, and i also wrote a complaint to corporate using their complaint form on the website.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,6,"a few weeks later, i heard that this pharmacist was terminated.",['was terminated'],1,1,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
2,1,i rarely if ever have had a negative experience with service.,,0,0,4,4,0,6055fb746f6bddc0d1a3e1e0,1,30,none
2,2,i order most things to not have to deal with the hassle of someone messing up.,,0,0,4,4,0,6055fb746f6bddc0d1a3e1e0,1,30,none
3,1,i had an error with my credit card where there was a purchase on there that was not made by me.,['was not made'],1,1,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
3,2,i had to call their customer service line and be transferred to a specific department.,['be transferred'],1,1,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
3,3,the customer service agent was well mannered and we got this information and situation resolved quite easily.,,0,0,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
4,1,i pre-ordered a sandwich using the restaurant's app.,,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,2,"the app told me the food was ready to be picked up, and would be on a pick-up shelf.",['be picked'],1,1,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,3,"when i got there, the food was not on the shelf.",,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,4,"no one would look at me or acknowledge me, so i had to wait in the general line and wait for my food, defeating the purpose of pre-ordering and using the app.",,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,5,the staff was pretty rude about all of it too.,,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
5,1,i was in new york city with a friend and we decided to order take out to bring back to our hotel room.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,2,my friend has a dairy allergy and most of the items on the menu had dairy.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,3,we had informed them of the allergy but the person taking our order did not know if some of the menu items contained dairy or not so we gave her a lot of options to choose from if she finds out they have dairy.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,4,"when we got to the restaurant to pick up, it turned out that all of the items we ordered had dairy except 1 or 2.",,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
