,Sentence,human_coding
0,The politics being discussed were causing scene.,1
1,The world of politics is quite fascinating.,0
2,I don usually participate in discussions about politics.,0
3,The president was impeached before his second term.,1
4,The President just gave speech about COVID relief.,0
5,I wish the government was better.,0
6,Sanders fights for the working class.,0
7,Politics is topic for the commoners.,0
8,The passage of the bill was interrupted by politics.,1
9,The Democratic candidate won the election by landslide.,0
10,The House passed the bill with bipartisan support.,0
11,Politics was the focus of her television viewing.,0
